証券コード,銘柄名,業種（日経業種分類）,決算期,PER（株価収益率、倍）,業種平均PER（倍）,"PER評価
（利益に対する割安・割高／業種平均より低いか）",PBR（株価純資産倍率、倍）,業種平均PBR（倍）,"PBR評価
（資産に対する割安・割高／1倍前後・業種平均比）",配当利回り（%）,配当性向（%）,"配当評価
（増配傾向か／性向が過度に高くないか）",ROE（自己資本利益率、%）,"ROE評価
（資本効率。目安8〜10%以上）",営業利益率の推移（直近3期以上）,"営業利益率評価
（収益力の安定性。安定/改善しているか）",自己資本比率（%）,"自己資本比率評価
（財務健全性。業種特性を踏まえ低すぎないか）",データ取得日・出所
1332,ニッスイ,水産,,13.43,13.43,業種内比較銘柄なし（1社のみ）,1.32,1.32,業種内比較銘柄なし（1社のみ）,2.49,,,,,,,,,PER/PBR/配当利回り: ダイヤモンドZAiオンラインα「日経平均株価の採用銘柄一覧」2026/6/30時点データ(2026/7/1公開)、一部銘柄はIRBANK(2026年7月時点)
1605,INPEX,鉱業,,10.84,10.84,業種内比較銘柄なし（1社のみ）,0.78,0.78,業種内比較銘柄なし（1社のみ）,3.30,,,,,,,,,
1721,コムシスホールディングス,建設,,16.62,13.59,割高（業種平均以上）,1.57,1.59,やや割安（業種平均より低い）,2.47,,,,,,,,,
1801,大成建設,建設,,15.38,13.59,割高（業種平均以上）,2.47,1.59,割高（1倍超・業種平均以上）,2.66,,,,,,,,,
1802,大林組,建設,,14.26,13.59,割高（業種平均以上）,1.79,1.59,割高（1倍超・業種平均以上）,2.88,,,,,,,,,
1803,清水建設,建設,,13.32,13.59,割安（業種平均より低い）,1.78,1.59,割高（1倍超・業種平均以上）,3.02,,,,,,,,,
1808,長谷工コーポレーション,建設,,11.40,13.59,割安（業種平均より低い）,1.34,1.59,やや割安（業種平均より低い）,3.51,,,,,,,,,
1812,鹿島,建設,,16.02,13.59,割高（業種平均以上）,1.92,1.59,割高（1倍超・業種平均以上）,2.48,,,,,,,,,
1925,大和ハウス工業,建設,,12.05,13.59,割安（業種平均より低い）,0.95,1.59,割安（1倍前後かつ業種平均より低い）,3.98,,,,,,,,,
1928,積水ハウス,建設,,10.06,13.59,割安（業種平均より低い）,1.02,1.59,割安（1倍前後かつ業種平均より低い）,4.28,,,,,,,,,
1963,日揮ホールディングス,建設,,13.17,13.59,割安（業種平均より低い）,1.44,1.59,やや割安（業種平均より低い）,2.07,,,,,,,,,
2002,日清製粉グループ本社,食品,,13.54,19.29,割安（業種平均より低い）,1.08,2.42,割安（1倍前後かつ業種平均より低い）,3.27,,,,,,,,,
2269,明治ホールディングス,食品,,16.41,19.29,割安（業種平均より低い）,1.35,2.42,やや割安（業種平均より低い）,2.90,,,,,,,,,
2282,日本ハム,食品,,14.75,19.29,割安（業種平均より低い）,1.06,2.42,割安（1倍前後かつ業種平均より低い）,3.02,,,,,,,,,
2413,エムスリー,サービス,,22.86,22.72,割高（業種平均以上）,2.99,3.73,やや割安（業種平均より低い）,,,,,,,,,,
2432,ディー・エヌ・エー,サービス,,,22.72,データなし,1.03,3.73,割安（1倍前後かつ業種平均より低い）,,,,,,,,,,
2501,サッポロホールディングス,食品,,2.67,19.29,割安（業種平均より低い）,3.70,2.42,割高（1倍超・業種平均以上）,1.97,,,,,,,,,
2502,アサヒグループホールディングス,食品,,18.87,19.29,割安（業種平均より低い）,0.82,2.42,割安（1倍前後かつ業種平均より低い）,3.35,,,,,,,,,
2503,キリンホールディングス,食品,,14.40,19.29,割安（業種平均より低い）,1.72,2.42,やや割安（業種平均より低い）,2.70,,,,,,,,,
2768,双日,商社,,8.28,12.73,割安（業種平均より低い）,1.00,1.61,割安（1倍前後かつ業種平均より低い）,3.48,,,,,,,,,
2801,キッコーマン,食品,,25.21,19.29,割高（業種平均以上）,2.73,2.42,割高（1倍超・業種平均以上）,1.49,,,,,,,,,
2802,味の素,食品,,46.78,19.29,割高（業種平均以上）,7.21,2.42,割高（1倍超・業種平均以上）,0.85,,,,,,,,,
285A,キオクシアホールディングス,電気機器,,108.16,40.90,割高（業種平均以上）,34.60,5.91,割高（1倍超・業種平均以上）,,,,,,,,,,
2871,ニチレイ,食品,,21.59,19.29,割高（業種平均以上）,1.90,2.42,やや割安（業種平均より低い）,2.30,,,,,,,,,
2914,JT,食品,,18.72,19.29,割安（業種平均より低い）,2.62,2.42,割高（1倍超・業種平均以上）,4.02,,,,,,,,,
3086,J.フロント リテイリング,小売業,,30.47,26.93,割高（業種平均以上）,2.04,3.72,やや割安（業種平均より低い）,1.54,,,,,,,,,
3092,ZOZO,小売業,,20.44,26.93,割安（業種平均より低い）,9.51,3.72,割高（1倍超・業種平均以上）,3.48,,,,,,,,,
3099,三越伊勢丹ホールディングス,小売業,,23.40,26.93,割安（業種平均より低い）,2.35,3.72,やや割安（業種平均より低い）,1.94,,,,,,,,,
3289,東急不動産ホールディングス,不動産,,9.24,14.20,割安（業種平均より低い）,1.03,1.34,割安（1倍前後かつ業種平均より低い）,3.85,,,,,,,,,
